country,area,location,latitude,longitude,match_type
SOUTH AFRICA,Western Cape Province,"Buffels Bay, False Bay",-33.56667,18.35,location
SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,-30.049674746466,30.878520778753,location
SOUTH AFRICA,KwaZulu-Natal,Mtunzini,-29.189728,31.4781019,location
SOUTH AFRICA,KwaZulu-Natal,Clansthal,-30.1871708,30.7168475,location
SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,-33.96109,25.61494,location
ITALY,Tyrrhenian Sea,Capo d'Anzio,41.4479468,12.629052,location
USA,Florida,"Jacksonville, Duval County",30.325968,-81.65676,location
SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",-29.854272,31.0356329,location
MEXICO,Guerrero,Acapulco Bay,28.212055278,-107.637214444,location
AUSTRALIA,Queensland,Wellington Point,-27.495822204,153.239388783,location
