year,month,day,hour,latitude,longitude,sea_surface_temp,wind_speed,wave_height,wave_period,swell_height,swell_period,attack
2013.0,6.0,6,23.0,25.22,-80.65,30.3,5.0,1.0,5.0,1.0,9.5,0
2011.0,3.0,23,1.0,-32.3,152.7,25.5,4.6,0.0,0.0,1.0,9.5,0
2017.0,7.0,31,18.0,30.325968,-81.65676,28.4,5.0,1.0,5.0,1.0,9.5,1
2015.0,7.0,10,22.12,33.5,-117.8,21.9,5.0,0.5,10.0,0.5,15.0,0
2013.0,9.0,21,12.0,26.92911,-80.06919,28.3,6.7,1.0,5.0,1.0,9.5,1
2011.0,4.0,26,12.0,26.7834459,-80.0547546,27.2,5.0,1.0,5.0,1.0,9.5,1
2012.0,8.0,11,12.0,-31.75808771,115.737240457,18.9,5.0,1.0,5.0,1.0,9.5,1
2016.0,7.0,16,8.9,28.42,-80.59,31.0,2.1,1.0,5.0,1.0,9.5,0
2017.0,7.0,22,12.0,24.3,-81.6,30.4,7.2,1.0,5.0,1.0,9.5,0
2011.0,1.0,31,12.0,21.3,-86.3,24.6,4.6,0.5,2.0,1.5,6.0,0
2013.0,6.0,15,16.0,30.67,-81.47,27.4,2.1,1.0,5.0,1.0,9.5,0
2012.0,4.0,3,12.0,21.439542579,-157.94363193,25.7,3.6,1.0,5.0,1.0,9.5,1
2012.0,5.0,29,3.0,17.6,-102.2,29.0,6.0,0.5,5.0,1.5,7.0,0
2016.0,10.0,21,17.0,20.93667,-156.36056,26.3,5.0,2.0,8.0,1.0,12.0,1
2017.0,7.0,29,17.13,32.8,-79.6,28.7,8.0,1.0,5.0,1.0,9.5,0
2013.0,8.0,18,13.0,19.45797,-154.84371,26.2,4.1,1.0,5.0,1.0,9.5,1
2016.0,9.0,17,4.0,-38.5,144.3,13.7,6.2,1.0,5.0,1.0,9.5,0
2017.0,7.0,14,11.0,-31.929,115.7549,19.2,11.3,1.0,5.0,1.0,9.5,1
2013.0,4.0,2,21.85,21.0,-156.4,23.4,5.0,2.0,10.0,2.0,11.0,0
2012.0,9.0,8,12.0,25.7745,-80.1329,25.8,1.4,1.0,5.0,1.0,9.5,1
2011.0,12.0,26,12.0,17.1188196,-61.8439612,25.5,5.1,1.0,5.0,1.0,9.5,1
2014.0,8.0,6,6.0,32.6,-79.2,28.0,9.8,1.0,5.0,1.0,9.5,0
2012.0,8.0,26,1.67,-7.95,-34.31,25.4,5.0,1.0,5.0,1.0,9.5,0
2012.0,6.0,26,19.0,26.883875,-80.059723,27.4,10.3,1.0,5.0,1.0,9.5,1
2016.0,9.0,7,14.0,21.468004,-158.214988,26.9,5.0,1.0,5.0,0.5,15.0,1
2012.0,5.0,9,11.0,27.638883,-80.38908,24.9,5.0,1.0,10.0,0.5,11.0,1
2016.0,6.0,5,13.0,29.86,-81.27,26.9,5.7,1.0,5.0,1.0,9.5,0
2011.0,12.0,6,9.0,45.9757796,-123.9393377,9.3,5.0,0.5,10.0,0.5,13.0,1
2014.0,8.0,24,12.0,34.12545,-77.85804,25.8,7.7,1.0,5.0,1.0,9.5,1
