attack_id,date,year,month,hour,country,area,location,activity,fatal,attack_latitude,attack_longitude,noaa_latitude,noaa_longitude,sea_surface_temp,wind_speed,wave_height,wave_period,swell_height,swell_period,distance_km
770,2017-04-29,2017.0,4.0,17.0,USA,California,"San Onofre, San Diego County",Swimming,0.0,33.384955,-117.572537,33.2,-117.5,17.6,,1.5,10.0,0.5,11.0,21.642979364361395
806,2017-07-29,2017.0,7.0,,USA,South Carolina,"DeBordieu Colony, Georgetown County",Unknown,0.0,33.368223,-79.170601,33.35,-79.19,,4.1,,,,,2.7114497008579557
319,2013-09-14,2013.0,9.0,15.0,USA,Florida,"Casino Beach, Pensacola, Escambia County",Swimming,0.0,30.3317477,-87.1410901,30.4,-87.21,29.8,2.6,,,,,10.065122134669576
493,2015-04-26,2015.0,4.0,16.0,USA,Florida,"Resident's Beach, Marco Island",Wading,0.0,25.9354292,-81.7331285,26.05,-81.7,,1.5,,,,,13.162968678112705
568,2015-09-29,2015.0,9.0,16.0,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,0.0,29.9354428,-81.3019633,29.86,-81.27,26.7,5.1,,,,,8.936816787464004
658,2016-06-15,2016.0,6.0,6.0,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,0.0,21.96052,-159.35018,21.95,-159.36,26.9,8.7,,,,,1.547261740805747
763,2017-04-17,2017.0,4.0,,USA,Florida,"Daytona Beach, Volusia County",Unknown,0.0,29.2070854,-81.0207257,29.66,-81.22,,,,,,,53.93272393862878
402,2014-07-14,2014.0,7.0,14.0,USA,Florida,Okaloosa Island,Swimming,0.0,30.394995,-86.601875,30.4,-87.21,27.6,1.0,,,,,58.32770307925639
450,2014-11-08,2014.0,11.0,16.0,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,0.0,27.4842788,-80.3052946,27.6,-80.2,24.1,,1.0,9.0,0.5,11.0,16.533253733367566
508,2015-06-11,2015.0,6.0,12.0,USA,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,0.0,33.900049282896,-78.061581994137,33.91,-78.15,26.6,7.7,,,,,8.234584523795183
606,2016-01-23,2016.0,1.0,,USA,Hawaii,"Wailea Beach, Maui",Paddle boarding,0.0,20.681265,-156.443428,20.9,-156.47,,7.5,,,,,24.478613605864084
19,2011-03-16,2011.0,3.0,13.0,AUSTRALIA,New South Wales,"Jimmys Beach, Port Stephens",Wakeboarding,0.0,-32.735453541,151.886602806,-33.0,152.1,,5.1,0.5,5.0,1.0,9.0,35.532163264616514
374,2014-05-04,2014.0,5.0,,SOUTH AFRICA,Western Cape Province,Simonstown,Diving,0.0,-34.1934,18.43585,-34.3,18.2,,14.4,4.0,14.0,,,24.707457644622416
378,2014-05-13,2014.0,5.0,11.0,USA,Florida,"Jacksonville Beach, Duval County",Wading,0.0,30.2881812,-81.3920144,30.38,-81.45,,,,,,,11.627946899496633
445,2014-10-19,2014.0,10.0,,USA,California,"Leadbetter Beach, Santa Barbara County",Canoeing,0.0,34.40244,-119.69932,34.41,-119.69,,1.0,,,,,1.1990616731120967
527,2015-07-01,2015.0,7.0,12.0,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,0.0,35.1084829,-75.9778046,35.21,-75.7,27.2,6.2,,,,,27.662642139975585
689,2016-08-29,2016.0,8.0,14.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,0.0,29.029722,-80.9237495,29.0,-80.2,30.0,7.7,1.5,3.0,,,70.45444357345336
718,2016-11-14,2016.0,11.0,10.0,USA,Hawaii,"Kamaole Beach Park I, Maui",Floating,0.0,20.7222,-156.4479,20.9,-156.47,26.0,2.1,,,,,19.903487552445267
809,2017-08-03,2017.0,8.0,23.0,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,0.0,41.54928,-70.55475,41.58,-70.53,,,,,,,3.988541914726688
41,2011-06-01,2011.0,6.0,,MALAYSIA,Kedah,Palau Payar,Snorkeling,0.0,6.05,100.03333,5.7,100.0,27.0,4.1,,,,,39.0925108677772
102,2011-10-20,2011.0,10.0,,USA,Oregon,"Newport, Lincoln County",Surfing,0.0,44.6365534,-124.0544474,44.63,-124.04,13.2,1.3,,,,,1.3556988786142028
189,2012-07-24,2012.0,7.0,11.0,USA,North Carolina,"Ocean Isle, Brunswick County",Unknown,,33.900049282896,-78.061581994137,34.16,-77.85,,3.1,,,,,34.86652670009532
206,2012-09-06,2012.0,9.0,,USA,Florida,"Neptune Beach, Duval County",Surfing,0.0,30.312888,-81.398458,30.4,-81.43,,3.8,,,,,10.14821729871087
211,2012-09-16,2012.0,9.0,15.0,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,0.0,28.320224,-80.608867,28.4,-80.6,28.0,5.1,,,,,8.913030249441025
321,2013-09-21,2013.0,9.0,13.0,USA,Florida,"Ormond Beach, Volusia County",Swimming,0.0,29.2774764,-81.0417589,29.66,-81.22,,,,,,,45.901530978728566
46,2011-06-14,2011.0,6.0,,UNITED KINGDOM,Cornwall,St. Ives,Fishing,0.0,50.211422269,-5.480829146,50.1,-6.1,15.8,3.6,,26.0,,,45.81838657297801
60,2011-07-13,2011.0,7.0,12.0,BAHAMAS,Grand Bahama Island,Off Lucaya,Scuba diving,0.0,26.5174143,-78.7686115,26.5,-78.8,28.0,3.0,,,0.0,0.0,3.674863851781357
80,2011-08-31,2011.0,8.0,11.0,USA,Florida,Crescent Beach St. Johns County,Surfing,0.0,29.768745,-81.253492,29.8,-81.3,28.3,5.2,,,,,5.67656680347309
175,2012-06-20,2012.0,6.0,7.0,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",Surf skiing,0.0,-31.7789,115.7326,-31.98,115.25,22.3,,,,,,50.7591746256579
217,2012-10-16,2012.0,10.0,17.0,USA,Florida,Hobe Sound,Unknown,,27.0676296,-80.1358242,27.3,-79.9,29.0,7.7,,,,,34.809927441640056
229,2012-11-30,2012.0,11.0,9.0,USA,Hawaii,"Kihei, Maui",Snorkeling,0.0,20.7814563,-156.4626867,20.9,-156.47,24.2,1.0,,,,,13.203369923688497
440,2014-10-07,2014.0,10.0,,USA,Florida,"Cherie Down Park, Brevard County",Fishing,0.0,28.3921309,-80.597012,28.42,-80.59,27.8,2.1,,,,,3.1738903410819446
531,2015-07-04,2015.0,7.0,,USA,North Carolina,"Off Surf City, Pender County",Unknown,0.0,34.425619,-77.546911,34.21,-77.79,26.0,8.2,,,,,32.76033846085256
569,2015-10-04,2015.0,10.0,8.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,0.0,29.029722,-80.9237495,28.42,-80.59,28.2,1.5,,,,,75.2043515779445
571,2015-10-05,2015.0,10.0,10.0,USA,Texas,Galveston,Wading,0.0,29.300128,-94.795846,29.31,-94.79,25.5,,,,,,1.2354401366422214
669,2016-07-08,2016.0,7.0,,USA,California,"Capitola, Santa Cruz County",Fishing,0.0,36.973068,-121.952033,36.8,-122.0,13.9,,,,,,19.711482967396336
6,2011-01-20,2011.0,1.0,17.0,AUSTRALIA,New South Wales,Cudgen Creek,Swimming,,-28.26111,153.58276,-28.8,153.7,26.3,9.8,0.5,1.0,,,61.006686731647996
223,2012-10-30,2012.0,10.0,12.0,USA,California,"Humboldt Bay, Eureka, Humboldt County",Surfing,0.0,40.741892,-124.210936,40.77,-124.22,,9.3,,,,,3.2173664085693545
427,2014-09-02,2014.0,9.0,20.0,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,0.0,27.286106,-80.223526,27.46,-80.32,30.4,,,,,,21.55545060196924
644,2016-05-21,2016.0,5.0,17.0,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,0.0,30.384675011043,-81.489213740588,30.39,-81.52,,3.1,,,,,3.0117873769612373
95,2011-10-01,2011.0,10.0,,USA,Alabama,"Gulf Shores, Baldwin County",Unknown,0.0,30.272469,-87.68743,30.1,-87.6,27.0,4.0,,,,,20.938067984745206
201,2012-09-02,2012.0,9.0,12.0,USA,Hawaii,"Spreckelsville, Maui",Spearfishing,0.0,20.9073269,-156.4066558,20.9,-156.47,25.7,10.3,,,,,6.630215131314304
203,2012-09-02,2012.0,9.0,16.0,USA,Florida,"New Smyrna Beach, Volusia County",Swimming or boogie boarding,0.0,29.029722,-80.9237495,28.42,-80.59,28.3,1.5,,,,,75.2043515779445
297,2013-07-28,2013.0,7.0,11.0,BAHAMAS,Abaco Islands,Grand Cay,Diving,0.0,27.22727,-78.33653,27.65,-78.29,27.9,,,,,,47.22925571599649
616,2016-02-12,2016.0,2.0,15.0,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",Wading,0.0,18.58182,-68.40431,19.0,-68.3,26.0,6.2,1.0,2.0,1.0,3.0,47.778463284559926
745,2017-03-07,2017.0,3.0,,MEXICO,Tamaulipas,"Playa Baghdad, Matamoros",Fishing,0.0,25.825040274,-97.152136519,26.06,-97.22,21.6,5.1,,,,,26.993198274950043
799,2017-07-20,2017.0,7.0,7.0,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,0.0,34.4162748,-119.8338425,34.41,-119.69,,1.5,,,,,13.213705524366514
132,2012-01-22,2012.0,1.0,,BAHAMAS,Unknown,Cat Island,"Diving, photographing sharks",0.0,24.3096411,-75.4433707,24.7,-75.5,25.1,4.1,0.5,1.0,1.5,3.0,43.78253131597669
134,2012-02-06,2012.0,2.0,12.0,AUSTRALIA,Queensland,Wurtulla,Surfing,0.0,-26.755036297,153.127536265,-26.7,153.9,28.0,3.1,0.5,2.0,1.0,2.0,76.96044083673192
